Date,TBA Options | Front | 4.0 | ATM | Put | Premium,TBA Options | Front | 4.0 | ATM | Put | Price bpvol,TBA Options | Front | 4.0 | ATM | Put | Cvx-adj yield bpvol,TBA Options | Front | 4.0 | ATM | Put | Strike,TBA Options | Front | 4.0 | ATM | Put | TBA price,TBA Options | Front | 4.0 | ATM | Put | Price delta,TBA Options | Front | 4.0 | ATM | Put | Yield delta,TBA Options | Front | 4.0 | ATM | Put | Vega,TBA Options | Front | 4.0 | ATM | Put | Libor OAS,TBA Options | Front | 4.0 | ATM | Put | Model duration,TBA Options | Front | 4.0 | ATM | Put | Trader duration,TBA Options | Front | 4.0 | ATM | Put | Empirical duration,TBA Options | Front | 4.0 | ATM | Put | Expiry,TBA Options | Front | 4.0 | ATM | Put | Matched Swaption Price 10Y,TBA Options | Front | 4.0 | ATM | Put | Matched Swaption Price 7Y,TBA Options | Front | 4.0 | ATM | Put | Matched Swaption Price 5Y,TBA Options | Front | 4.0 | ATM | Call | Premium,TBA Options | Front | 4.0 | ATM | Call | Price bpvol,TBA Options | Front | 4.0 | ATM | Call | Cvx-adj yield bpvol,TBA Options | Front | 4.0 | ATM | Call | Strike,TBA Options | Front | 4.0 | ATM | Call | TBA price,TBA Options | Front | 4.0 | ATM | Call | Price delta,TBA Options | Front | 4.0 | ATM | Call | Yield delta,TBA Options | Front | 4.0 | ATM | Call | Vega,TBA Options | Front | 4.0 | ATM | Call | Libor OAS,TBA Options | Front | 4.0 | ATM | Call | Model duration,TBA Options | Front | 4.0 | ATM | Call | Trader duration,TBA Options | Front | 4.0 | ATM | Call | Empirical duration,TBA Options | Front | 4.0 | ATM | Call | Expiry,TBA Options | Front | 4.0 | ATM | Call | Matched Swaption Price 10Y,TBA Options | Front | 4.0 | ATM | Call | Matched Swaption Price 7Y,TBA Options | Front | 4.0 | ATM | Call | Matched Swaption Price 5Y
,0.46771,7.44068,7.28054,94.48438,94.48438,-0.51729,315.28542,0.48271,48.8,5.315,5.18767,6.04318,20230706,53.46386,45.14046,36.42867,0.46771,7.44068,7.28054,94.48438,94.48438,0.4813,-293.35385,0.48271,48.8,5.315,5.18767,6.04318,20230706,53.46386,45.14046,36.42867
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBA Options | Front | 4.0 | ATM | Put | Premium,0.46771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBA Options | Front | 4.0 | ATM | Put | Price bpvol,7.44068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBA Options | Front | 4.0 | ATM | Put | Cvx-adj yield bpvol,7.28054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBA Options | Front | 4.0 | ATM | Put | Strike,94.48438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBA Options | Front | 4.0 | ATM | Put | TBA price,94.48438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBA Options | Front | 4.0 | ATM | Put | Price delta,-0.51729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBA Options | Front | 4.0 | ATM | Put | Yield delta,315.28542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBA Options | Front | 4.0 | ATM | Put | Vega,0.48271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBA Options | Front | 4.0 | ATM | Put | Libor OAS,48.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBA Options | Front | 4.0 | ATM | Put | Model duration,5.315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBA Options | Front | 4.0 | ATM | Put | Trader duration,5.18767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBA Options | Front | 4.0 | ATM | Put | Empirical duration,6.04318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBA Options | Front | 4.0 | ATM | Put | Expiry,20230706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBA Options | Front | 4.0 | ATM | Put | Matched Swaption Price 10Y,53.46386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBA Options | Front | 4.0 | ATM | Put | Matched Swaption Price 7Y,45.14046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBA Options | Front | 4.0 | ATM | Put | Matched Swaption Price 5Y,36.42867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBA Options | Front | 4.0 | ATM | Call | Premium,0.46771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBA Options | Front | 4.0 | ATM | Call | Price bpvol,7.44068,7.4945%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBA Options | Front | 4.0 | ATM | Call | Cvx-adj yield bpvol,7.28054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBA Options | Front | 4.0 | ATM | Call | Strike,94.48438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBA Options | Front | 4.0 | ATM | Call | TBA price,94.48438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBA Options | Front | 4.0 | ATM | Call | Price delta,0.4813,0.502474422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBA Options | Front | 4.0 | ATM | Call | Yield delta,-293.35385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBA Options | Front | 4.0 | ATM | Call | Vega,0.48271,0.491321603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBA Options | Front | 4.0 | ATM | Call | Libor OAS,48.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBA Options | Front | 4.0 | ATM | Call | Model duration,5.315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBA Options | Front | 4.0 | ATM | Call | Trader duration,5.18767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBA Options | Front | 4.0 | ATM | Call | Empirical duration,6.04318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBA Options | Front | 4.0 | ATM | Call | Expiry,20230706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBA Options | Front | 4.0 | ATM | Call | Matched Swaption Price 10Y,53.46386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBA Options | Front | 4.0 | ATM | Call | Matched Swaption Price 7Y,45.14046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBA Options | Front | 4.0 | ATM | Call | Matched Swaption Price 5Y,36.42867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26-Jun-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-Jul-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Jun-23,0.43198,7.44087,7.18112,94.24219,94.24219,-0.51569,317.85352,0.45248,48.7,5.349,5.21558,5.82393,20230706,48.66914,41.12119,33.21407,0.43198,7.44087,7.18112,94.24219,94.24219,0.48305,-297.73388,0.45248,48.7,5.349,5.21558,5.82393,20230706,48.66914,41.12119,33.21407
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/27/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
